id,name,now_cost,position,team,web_name,transfers_in_event,influence_rank_type,news_added,ict_index_rank_type,assists,selected_rank,direct_freekicks_order,starts_per_90,goals_conceded,threat_rank_type,status,ep_this,news,selected_rank_type,goals_scored,influence_rank,goals_conceded_per_90,selected_by_percent,in_dreamteam,points_per_game_rank,expected_goal_involvements_per_90,influence,form_rank_type,expected_goals_conceded_per_90,chance_of_playing_this_round,ep_next,expected_assists,expected_goals_conceded,points_per_game,cost_change_start,transfers_in,starts,cost_change_start_fall,creativity,saves_per_90,threat_rank,penalties_saved,points_per_game_rank_type,own_goals,bonus,penalties_missed,expected_goals,chance_of_playing_next_round,event_points,clean_sheets,clean_sheets_per_90,transfers_out,cost_change_event,penalties_order,expected_goals_per_90,creativity_rank_type,expected_assists_per_90,value_season,transfers_out_event,form,bps,saves,expected_goal_involvements,form_rank,creativity_rank,corners_and_indirect_freekicks_order,threat,dreamteam_count,now_cost_rank_type,ict_index,now_cost_rank,minutes,yellow_cards,cost_change_event_fall,red_cards,value_form,ict_index_rank,total_points
1,Folarin Balogun,44,FWD,Arsenal,Balogun,0,61,2023-08-31T08:55:15.272751Z,63,0,325,,0.0,0,60,u,0.0,Transferred to Monaco,50,0,623,0.0,0.2,False,635,0.0,0.0,55,0.0,0.0,0.0,0.00,0.00,0.0,-1,10024,0,1,0.0,0.0,596,0,66,0,0,0,0.00,0.0,0,0,0.0,61418,0,,0.0,62,0.0,0.0,142,0.0,0,0,0.00,564,612,,0.0,0,94,0.0,528,0,0,0,0,0.0,628,0
2,Cédric Alves Soares,39,DEF,Arsenal,Cédric,433,173,,172,0,253,,0.0,0,158,a,0.0,,100,0,487,0.0,0.4,False,499,0.0,0.0,139,0.0,,0.5,0.00,0.00,0.0,-1,33412,0,1,0.0,0.0,437,0,170,0,0,0,0.00,,0,0,0.0,37554,0,,0.0,172,0.0,0.0,614,0.0,0,0,0.00,404,467,,0.0,0,231,0.0,729,0,0,0,0,0.0,493,0
3,Mohamed Elneny,44,MID,Arsenal,M.Elneny,54,215,2023-12-12T22:30:08.433665Z,214,1,438,,0.0,0,207,a,0.0,,144,0,473,0.0,0.1,False,55,0.0,1.8,192,0.0,25.0,0.5,0.00,0.00,4.0,-1,12636,0,1,0.5,0.0,419,0,30,0,0,0,0.00,100.0,0,0,0.0,17767,0,,0.0,217,0.0,0.9,185,0.0,12,0,0.00,548,443,,2.0,0,290,0.4,498,1,0,0,0,0.0,470,4
4,Fábio Ferreira Vieira,54,MID,Arsenal,Fábio Vieira,5,134,2023-12-07T12:00:08.489004Z,139,3,430,,0.76,2,109,i,0.0,Groin Injury - Expected back 20 Jan,141,1,318,0.76,0.1,False,209,0.59,79.4,319,0.56,0.0,0.0,0.35,1.48,2.6,-1,11445,2,1,63.6,0.0,199,0,92,0,0,0,1.20,0.0,0,1,0.38,18183,0,4.0,0.46,141,0.13,3.9,80,0.0,62,0,1.55,738,253,5.0,77.0,0,80,21.9,127,236,0,0,1,0.0,300,21
5,Gabriel dos Santos Magalhães,49,DEF,Arsenal,Gabriel,104278,42,2023-09-30T23:00:07.672676Z,47,0,21,,0.98,13,24,a,4.5,,7,1,110,0.91,16.1,False,100,0.09,268.8,5,0.84,100.0,5.0,0.22,11.97,3.5,-1,1193629,14,1,59.0,0.0,156,0,24,0,4,0,0.93,100.0,10,5,0.35,2484607,0,,0.07,87,0.02,11.4,5578,4.5,259,0,1.15,34,269,,105.0,1,31,43.3,247,1284,1,0,0,0.9,172,56
6,Kai Havertz,71,MID,Arsenal,Havertz,1812,65,2023-12-23T20:00:08.458889Z,53,1,151,,0.99,12,33,s,4.2,Suspended until 31 Dec,46,4,154,0.99,1.7,False,183,0.44,217.0,26,0.74,,0.0,1.09,8.98,2.8,-4,81456,12,4,207.7,0.0,55,0,81,0,0,0,4.21,0.0,1,4,0.33,377765,0,3.0,0.35,63,0.09,7.0,8219,4.2,146,0,5.30,46,83,,278.0,0,18,70.3,30,1092,5,0,0,0.6,77,50
8,Gabriel Fernando de Jesus,80,FWD,Arsenal,G.Jesus,45531,18,2023-10-24T23:30:07.618920Z,10,2,75,,1.1,9,8,a,4.7,,15,3,171,0.99,5.3,False,103,0.6,199.4,4,0.81,100.0,5.2,1.16,7.36,3.5,0,852181,10,0,181.5,0.0,15,0,14,0,8,0,4.25,100.0,2,5,0.55,630209,0,,0.47,11,0.13,5.8,19035,4.7,144,0,5.41,29,101,,453.0,1,4,83.3,12,821,3,0,0,0.6,48,46
9,Jorge Luiz Frello Filho,53,MID,Arsenal,Jorginho,74,157,2023-12-18T00:00:09.353001Z,161,0,344,,0.94,6,197,a,0.2,,105,0,362,1.41,0.2,False,367,0.09,50.6,164,1.1,75.0,0.8,0.30,4.68,1.4,-2,8760,4,2,64.7,0.0,390,0,165,0,0,0,0.09,100.0,0,1,0.23,18070,0,,0.02,139,0.07,2.8,238,0.3,66,0,0.39,365,250,,9.0,0,83,12.4,134,383,1,0,0,0.1,359,15
10,Jakub Kiwior,43,DEF,Arsenal,Kiwior,54,141,,142,0,432,,1.09,5,122,a,0.5,,167,0,374,1.82,0.1,False,325,0.16,43.4,112,0.5,,1.0,0.07,1.37,1.7,-2,4591,3,2,11.2,0.0,347,0,114,0,0,0,0.37,,0,1,0.36,8837,0,,0.13,143,0.03,2.8,120,0.5,58,0,0.44,329,392,,18.0,0,151,7.4,603,247,0,0,0,0.1,398,12
11,Marcus Oliveira Alencar,45,MID,Arsenal,Marquinhos,0,267,2023-08-14T03:57:12.475590Z,270,0,528,,0.0,0,267,u,0.0,Season long loan to FC Nantes,187,0,673,0.0,0.0,False,682,0.0,0.0,233,0.0,0.0,0.0,0.00,0.00,0.0,0,819,0,0,0.0,0.0,660,0,273,0,0,0,0.00,0.0,0,0,0.0,11679,0,,0.0,268,0.0,0.0,17,0.0,0,0,0.00,623,669,,0.0,0,246,0.0,424,0,0,0,0,0.0,678,0
